"SU","key","site","transect","depth","depth_site_span","depth_transect_span","altitude","GPS_x","GPS_y","img_name","soft_sediment","shell_debris","cobble","pebble","hard_substrate","anthro_substrate","unknown","filamentous_brown","sargassum","sugar_kelp","green_algae","textured_kelp","other_brown_kelp","red_algae","coralline_algae","kelp_bryozoan","sessile_invert","mobile_invert"
35,"1_1",1,1,5.7912,1.28016,1.09728,0.929111111,47.63031651,-122.3987578,"2022_10_06_13-50-40_344.jpg",6,8,4,0,0,0,0,0,0,78,0,0,0,0,0,2,0,0
33,"1_1",1,1,5.91312,1.28016,1.09728,0.969666667,47.6303148,-122.3987363,"2022_10_06_13-50-40_328.jpg",3,13,0,1,0,0,4,0,0,75,1,0,0,0,0,2,0,0
16,"1_1",1,1,6.00456,1.28016,1.09728,0.948555556,47.63030207,-122.3985503,"2022_10_06_13-50-40_208.jpg",2,3,4,0,0,0,1,0,0,79,0,0,0,0,0,3,0,0
34,"1_1",1,1,5.91312,1.28016,1.09728,0.904777778,47.6303156,-122.3987463,"2022_10_06_13-50-40_336.jpg",6,6,3,1,0,0,6,0,0,65,0,5,0,0,0,0,0,0
52,"1_1",1,1,5.6388,1.28016,1.09728,1.047,47.63033169,-122.3989541,"2022_10_06_13-50-40_472.jpg",1,1,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0
2,"1_1",1,1,6.27888,1.28016,1.09728,0.933333333,47.63028363,-122.3983792,"2022_10_06_13-50-40_104.jpg",5,8,6,4,0,0,1,0,0,61,2,0,0,0,0,3,0,1
36,"1_1",1,1,5.7912,1.28016,1.09728,1.018222222,47.63031752,-122.3987708,"2022_10_06_13-50-40_352.jpg",2,3,4,0,0,0,2,0,0,74,8,0,0,0,0,0,0,0
9,"1_1",1,1,6.46176,1.28016,1.09728,0.968444444,47.63026998,-122.3982604,"2022_10_06_13-50-40_16.jpg",7,13,5,4,0,0,2,0,0,52,1,10,0,0,0,2,0,0
17,"1_1",1,1,5.97408,1.28016,1.09728,1.045222222,47.63030229,-122.3985628,"2022_10_06_13-50-40_216.jpg",2,5,2,0,0,0,0,0,0,74,1,0,0,2,0,0,0,0
49,"1_1",1,1,5.60832,1.28016,1.09728,0.960888889,47.63032863,-122.3989148,"2022_10_06_13-50-40_448.jpg",4,1,0,0,2,0,0,0,0,92,0,0,0,0,0,1,0,0
39,"1_1",1,1,5.73024,1.28016,1.09728,1.041666667,47.63031993,-122.3988029,"2022_10_06_13-50-40_376.jpg",0,13,5,1,0,0,0,0,0,63,3,7,0,1,0,0,0,0
30,"1_1",1,1,5.91312,1.28016,1.09728,0.969111111,47.63031317,-122.3987124,"2022_10_06_13-50-40_312.jpg",3,12,3,1,0,0,5,0,0,74,0,0,0,0,0,1,0,0
42,"1_1",1,1,6.4008,1.28016,1.09728,0.936666667,47.6302734,-122.3982933,"2022_10_06_13-50-40_40.jpg",1,11,2,3,3,0,10,0,0,70,0,0,0,0,0,0,0,0
15,"1_1",1,1,5.97408,1.28016,1.09728,0.972,47.63030188,-122.3985406,"2022_10_06_13-50-40_200.jpg",0,1,6,1,0,0,7,0,0,52,0,0,0,0,0,0,0,0
23,"1_1",1,1,5.9436,1.28016,1.09728,1.008777778,47.63030583,-122.3986279,"2022_10_06_13-50-40_256.jpg",0,6,2,0,0,0,2,0,0,87,0,0,0,0,0,2,0,0
25,"1_1",1,1,5.9436,1.28016,1.09728,0.978,47.63030755,-122.3986472,"2022_10_06_13-50-40_272.jpg",4,2,0,0,0,0,1,0,0,34,0,4,0,0,0,0,0,0
59,"1_1",1,1,6.46176,1.28016,1.09728,0.9858,47.63026891,-122.3982495,"2022_10_06_13-50-40_8.jpg",1,13,7,0,0,0,3,0,0,61,2,2,0,0,0,0,0,0
57,"1_1",1,1,6.33984,1.28016,1.09728,0.970777778,47.63027668,-122.3983229,"2022_10_06_13-50-40_64.jpg",2,13,1,4,0,0,7,0,0,65,0,8,0,0,0,0,0,0
53,"1_1",1,1,6.33984,1.28016,1.09728,1.003222222,47.63027427,-122.3983026,"2022_10_06_13-50-40_48.jpg",8,20,8,5,0,0,8,0,0,43,2,0,0,0,0,0,0,0
61,"1_1",1,1,6.2484,1.28016,1.09728,0.970333333,47.63028123,-122.3983597,"2022_10_06_13-50-40_88.jpg",1,7,1,1,1,0,1,0,0,76,7,0,0,0,0,1,0,0
24,"1_1",1,1,5.91312,1.28016,1.09728,0.983555556,47.63030704,-122.3986411,"2022_10_06_13-50-40_264.jpg",2,6,3,0,0,0,4,0,0,49,2,29,0,0,0,0,0,0
38,"1_1",1,1,5.76072,1.28016,1.09728,1.012,47.63031929,-122.3987944,"2022_10_06_13-50-40_368.jpg",1,13,14,3,0,0,1,0,0,48,2,1,0,0,0,1,0,0
27,"1_1",1,1,6.00456,1.28016,1.09728,0.969111111,47.63030952,-122.3986698,"2022_10_06_13-50-40_288.jpg",1,6,1,2,0,0,1,0,0,80,1,0,0,0,0,2,0,0
37,"1_1",1,1,5.82168,1.28016,1.09728,1.024555556,47.63031843,-122.3987833,"2022_10_06_13-50-40_360.jpg",1,13,19,7,0,0,1,0,0,48,2,0,0,0,0,2,0,0
56,"1_1",1,1,6.33984,1.28016,1.09728,0.973555556,47.63027512,-122.3983102,"2022_10_06_13-50-40_56.jpg",4,15,4,4,0,0,3,0,0,68,1,0,0,0,0,1,0,0
47,"1_1",1,1,5.42544,1.28016,1.09728,1.2251,47.6303266,-122.3988875,"2022_10_06_13-50-40_432.jpg",3,5,1,0,0,0,41,0,0,28,1,0,0,20,0,1,0,0
66,"1_2",1,2,6.15696,1.28016,1.0668,0.914444444,47.63037507,-122.3985218,"2022_10_06_14-05-43_120.jpg",1,1,9,1,0,0,7,0,0,79,2,0,0,0,0,0,0,0
72,"1_2",1,2,6.12648,1.28016,1.0668,0.94,47.6303764,-122.3985744,"2022_10_06_14-05-43_160.jpg",0,11,2,2,0,0,0,0,0,81,0,0,0,0,0,1,0,0
94,"1_2",1,2,5.66928,1.28016,1.0668,1.160777778,47.63037634,-122.3988191,"2022_10_06_14-05-43_320.jpg",0,5,0,3,0,0,3,0,0,86,0,0,0,0,0,3,0,0
73,"1_2",1,2,6.00456,1.28016,1.0668,0.978666667,47.63037677,-122.3985889,"2022_10_06_14-05-43_168.jpg",0,13,1,0,0,0,0,0,0,83,1,0,0,1,0,0,0,0
100,"1_2",1,2,5.82168,1.28016,1.0668,0.9717,47.63037638,-122.3988874,"2022_10_06_14-05-43_368.jpg",0,6,0,0,0,0,2,0,0,82,0,0,0,0,0,10,0,0
78,"1_2",1,2,5.97408,1.28016,1.0668,0.975111111,47.63037783,-122.3986494,"2022_10_06_14-05-43_208.jpg",0,16,15,0,0,0,0,0,0,49,4,0,0,0,0,2,0,0
80,"1_2",1,2,5.9436,1.28016,1.0668,0.967,47.63037823,-122.3986719,"2022_10_06_14-05-43_224.jpg",0,4,13,5,0,0,4,0,0,68,1,0,0,0,0,0,0,0
76,"1_2",1,2,6.00456,1.28016,1.0668,0.959,47.63037755,-122.39863,"2022_10_06_14-05-43_192.jpg",0,20,0,1,0,0,3,0,0,59,11,0,0,1,0,2,0,0
67,"1_2",1,2,6.12648,1.28016,1.0668,0.957333333,47.63037581,-122.3985357,"2022_10_06_14-05-43_128.jpg",0,2,11,0,0,0,1,0,0,66,1,19,0,0,0,0,0,0
117,"1_2",1,2,6.15696,1.28016,1.0668,0.932555556,47.63037383,-122.3984846,"2022_10_06_14-05-43_96.jpg",1,23,1,1,0,0,1,0,0,56,1,5,0,0,0,2,0,0
93,"1_2",1,2,6.33984,1.28016,1.0668,0.963777778,47.63037514,-122.3983905,"2022_10_06_14-05-43_32.jpg",0,21,1,2,0,0,33,0,0,39,1,0,0,0,0,3,0,0
79,"1_2",1,2,5.91312,1.28016,1.0668,0.966444444,47.63037806,-122.398663,"2022_10_06_14-05-43_216.jpg",2,13,6,0,0,0,6,0,0,65,1,0,0,0,0,0,0,0
96,"1_2",1,2,5.82168,1.28016,1.0668,0.978444444,47.63037634,-122.3988514,"2022_10_06_14-05-43_336.jpg",0,1,0,0,0,0,0,0,0,88,11,0,0,0,0,0,0,0
85,"1_2",1,2,5.82168,1.28016,1.0668,0.958777778,47.63037919,-122.3987248,"2022_10_06_14-05-43_256.jpg",12,16,6,1,0,0,5,0,0,53,0,0,0,0,0,5,0,0
104,"1_2",1,2,6.33984,1.28016,1.0668,0.925,47.63037655,-122.3984043,"2022_10_06_14-05-43_40.jpg",4,21,7,6,0,0,17,0,0,33,1,0,0,0,0,0,0,0
74,"1_2",1,2,6.03504,1.28016,1.0668,1.006222222,47.63037705,-122.3986021,"2022_10_06_14-05-43_176.jpg",0,20,8,2,0,0,1,0,0,55,1,0,0,1,0,2,0,0
102,"1_2",1,2,5.82168,1.28016,1.0668,1.003444444,47.63037638,-122.3989091,"2022_10_06_14-05-43_384.jpg",0,8,0,0,0,0,0,0,0,86,0,0,0,4,0,2,0,0
75,"1_2",1,2,6.03504,1.28016,1.0668,0.964222222,47.63037724,-122.398615,"2022_10_06_14-05-43_184.jpg",1,10,0,0,0,0,0,0,0,78,1,8,0,0,0,0,0,0
98,"1_2",1,2,5.85216,1.28016,1.0668,0.949777778,47.63037634,-122.3988666,"2022_10_06_14-05-43_352.jpg",5,9,0,8,0,0,1,0,0,56,3,0,0,12,0,1,0,0
99,"1_2",1,2,5.85216,1.28016,1.0668,0.977444444,47.63037638,-122.3988763,"2022_10_06_14-05-43_360.jpg",0,16,4,0,0,0,0,0,0,70,10,0,0,0,0,0,0,0
103,"1_2",1,2,5.82168,1.28016,1.0668,1.029222222,47.63037638,-122.39892,"2022_10_06_14-05-43_392.jpg",0,8,0,0,0,0,0,0,0,88,2,0,0,2,0,0,0,0
86,"1_2",1,2,5.85216,1.28016,1.0668,0.964333333,47.63037943,-122.3987361,"2022_10_06_14-05-43_264.jpg",12,17,8,0,0,0,4,0,0,56,2,0,0,0,0,0,0,0
97,"1_2",1,2,5.76072,1.28016,1.0668,0.957111111,47.63037634,-122.3988568,"2022_10_06_14-05-43_344.jpg",0,6,3,8,0,0,1,0,0,74,4,0,0,3,0,1,0,0
90,"1_2",1,2,5.73024,1.28016,1.0668,0.835333333,47.630376,-122.3987833,"2022_10_06_14-05-43_296.jpg",0,1,0,0,0,0,7,0,0,86,0,0,0,2,0,2,0,2
69,"1_2",1,2,6.12648,1.28016,1.0668,0.946888889,47.630376,-122.3985529,"2022_10_06_14-05-43_144.jpg",0,3,2,0,0,0,1,0,0,92,0,0,0,0,0,0,0,0
64,"1_2",1,2,6.15696,1.28016,1.0668,0.944666667,47.6303737,-122.3984965,"2022_10_06_14-05-43_104.jpg",0,3,1,0,0,0,33,0,0,47,12,0,0,0,0,3,0,0
92,"1_2",1,2,5.60832,1.28016,1.0668,1.174777778,47.63037616,-122.3988057,"2022_10_06_14-05-43_312.jpg",1,9,0,1,0,0,2,0,0,82,3,0,0,0,0,0,0,0
111,"1_2",1,2,6.21792,1.28016,1.0668,0.881111111,47.63037738,-122.3984266,"2022_10_06_14-05-43_56.jpg",1,15,6,2,0,0,11,0,0,61,0,0,0,0,0,0,0,0
65,"1_2",1,2,6.18744,1.28016,1.0668,0.947555556,47.63037443,-122.3985096,"2022_10_06_14-05-43_112.jpg",0,11,19,5,0,0,4,1,0,50,2,0,0,0,0,1,0,1
101,"1_2",1,2,5.82168,1.28016,1.0668,0.975777778,47.63037638,-122.3988972,"2022_10_06_14-05-43_376.jpg",2,0,0,0,0,0,0,0,0,58,32,0,0,6,0,2,0,0
68,"1_2",1,2,6.12648,1.28016,1.0668,0.973555556,47.63037585,-122.3985432,"2022_10_06_14-05-43_136.jpg",1,14,0,0,0,0,1,0,0,82,0,1,0,0,0,1,0,0
81,"1_2",1,2,5.91312,1.28016,1.0668,0.960222222,47.63037821,-122.3986866,"2022_10_06_14-05-43_232.jpg",1,4,1,2,0,0,3,0,0,88,0,0,0,1,0,0,0,0
84,"1_2",1,2,5.85216,1.28016,1.0668,1.004222222,47.63037903,-122.3987139,"2022_10_06_14-05-43_248.jpg",5,6,5,0,0,0,9,0,0,71,1,0,0,0,0,1,0,2
113,"1_2",1,2,6.18744,1.28016,1.0668,0.92675,47.63037823,-122.3984505,"2022_10_06_14-05-43_72.jpg",0,2,3,1,0,0,9,0,0,67,0,0,0,0,0,0,0,0
108,"1_2",1,2,5.85216,1.28016,1.0668,0.957444444,47.6303764,-122.398964,"2022_10_06_14-05-43_424.jpg",1,1,0,0,0,0,0,0,0,61,27,0,0,9,0,1,0,0
77,"1_2",1,2,5.97408,1.28016,1.0668,1.016,47.63037766,-122.3986398,"2022_10_06_14-05-43_200.jpg",1,15,0,0,0,0,1,0,0,67,2,0,0,2,0,1,0,0
95,"1_2",1,2,5.7912,1.28016,1.0668,0.963666667,47.63037634,-122.3988372,"2022_10_06_14-05-43_328.jpg",0,7,0,1,0,0,2,0,0,73,1,0,0,2,0,2,0,0
105,"1_2",1,2,5.82168,1.28016,1.0668,1.011222222,47.63037638,-122.3989319,"2022_10_06_14-05-43_400.jpg",0,12,0,0,0,0,2,0,0,74,12,0,0,0,0,0,0,0
70,"1_2",1,2,6.12648,1.28016,1.0668,0.946111111,47.63037629,-122.3985652,"2022_10_06_14-05-43_152.jpg",0,2,0,0,0,0,0,0,0,82,0,0,0,0,2,4,0,0
91,"1_2",1,2,5.6388,1.28016,1.0668,1.135444444,47.63037583,-122.3987967,"2022_10_06_14-05-43_304.jpg",1,0,0,1,2,0,9,0,0,86,0,0,0,0,0,0,0,1
106,"1_2",1,2,5.88264,1.28016,1.0668,0.957888889,47.63037648,-122.3989424,"2022_10_06_14-05-43_408.jpg",0,2,0,0,0,0,0,0,0,92,0,0,0,6,0,0,0,0
63,"1_2",1,2,6.67512,1.28016,1.0668,0.748333333,47.63037,-122.3983306,"2022_10_06_14-05-43_0.jpg",0,10,2,4,0,0,0,0,0,53,0,25,0,0,0,6,0,0
71,"1_2",1,2,6.37032,1.28016,1.0668,0.98,47.6303722,-122.3983565,"2022_10_06_14-05-43_16.jpg",3,11,6,1,0,0,8,0,0,50,0,0,0,0,0,2,0,0
89,"1_2",1,2,5.82168,1.28016,1.0668,0.928555556,47.63037628,-122.3987678,"2022_10_06_14-05-43_288.jpg",1,0,0,0,14,0,0,0,0,74,1,0,0,4,0,1,0,2
83,"1_2",1,2,5.91312,1.28016,1.0668,0.922222222,47.63037881,-122.3987026,"2022_10_06_14-05-43_240.jpg",0,3,0,1,0,0,10,0,0,84,0,0,0,0,0,1,0,1
109,"1_2",1,2,5.85216,1.28016,1.0668,0.986,47.63037714,-122.3989752,"2022_10_06_14-05-43_432.jpg",0,1,0,0,2,0,1,0,0,81,10,0,0,5,0,0,0,0
107,"1_2",1,2,5.82168,1.28016,1.0668,0.976333333,47.63037659,-122.3989539,"2022_10_06_14-05-43_416.jpg",0,1,0,1,0,0,1,0,0,56,33,0,0,8,0,0,0,0
112,"1_2",1,2,6.18744,1.28016,1.0668,0.965888889,47.63037779,-122.3984385,"2022_10_06_14-05-43_64.jpg",2,3,2,0,0,0,9,0,0,71,0,0,0,0,0,0,0,0
115,"1_2",1,2,6.18744,1.28016,1.0668,0.924222222,47.63037761,-122.3984581,"2022_10_06_14-05-43_80.jpg",1,10,1,1,0,0,10,0,0,61,4,0,0,0,0,0,0,0
82,"1_2",1,2,6.33984,1.28016,1.0668,0.923444444,47.63037348,-122.3983725,"2022_10_06_14-05-43_24.jpg",0,15,4,4,0,0,7,0,0,49,1,0,0,0,0,0,0,0
192,"2_1",2,1,10.18032,4.63296,3.41376,0.995555556,47.62717655,-122.3934794,"2022_9_29_11-41-39_320.jpg",6,25,1,7,0,0,5,1,0,0,0,39,0,15,0,0,0,0
166,"2_1",2,1,11.1252,4.63296,3.41376,1.074,47.62707907,-122.3932157,"2022_9_29_11-41-39_136.jpg",16,14,13,3,0,0,10,2,0,0,2,15,0,23,0,0,0,1
187,"2_1",2,1,10.14984,4.63296,3.41376,0.8292,47.62716758,-122.3934435,"2022_9_29_11-41-39_288.jpg",15,28,0,2,0,0,9,19,0,0,0,11,0,14,0,0,0,1
203,"2_1",2,1,10.30224,4.63296,3.41376,0.870333333,47.62720378,-122.3935912,"2022_9_29_11-41-39_400.jpg",14,47,0,11,0,0,3,0,0,0,0,18,0,3,0,0,0,0
194,"2_1",2,1,10.2108,4.63296,3.41376,1.069444444,47.62718264,-122.3935038,"2022_9_29_11-41-39_336.jpg",6,11,3,2,0,0,7,2,0,1,0,67,0,0,0,0,1,0
175,"2_1",2,1,11.18616,4.63296,3.41376,1.120444444,47.62710067,-122.3933126,"2022_9_29_11-41-39_200.jpg",40,11,2,7,0,0,9,2,0,0,3,6,0,19,0,0,0,0
184,"2_1",2,1,10.5156,4.63296,3.41376,1.035777778,47.62714976,-122.3934069,"2022_9_29_11-41-39_264.jpg",38,19,4,10,0,0,8,4,0,6,3,2,0,5,0,0,0,0
176,"2_1",2,1,11.36904,4.63296,3.41376,0.881444444,47.62710427,-122.3933243,"2022_9_29_11-41-39_208.jpg",17,14,3,14,0,0,26,0,0,0,4,20,0,1,0,0,0,1
162,"2_1",2,1,11.61288,4.63296,3.41376,1.03,47.62707269,-122.3931658,"2022_9_29_11-41-39_104.jpg",9,13,0,4,0,0,24,0,0,1,0,47,0,1,0,0,0,0
212,"2_1",2,1,12.16152,4.63296,3.41376,1.099888889,47.62706016,-122.3930874,"2022_9_29_11-41-39_48.jpg",20,0,0,0,0,0,54,0,0,1,4,1,0,19,0,0,0,0
205,"2_1",2,1,10.42416,4.63296,3.41376,0.746444444,47.62720855,-122.3936151,"2022_9_29_11-41-39_416.jpg",7,24,1,2,0,0,4,0,0,0,0,59,0,1,0,0,0,0
185,"2_1",2,1,10.5156,4.63296,3.41376,0.840555556,47.62715563,-122.3934199,"2022_9_29_11-41-39_272.jpg",50,14,0,4,0,0,5,13,0,0,0,0,0,11,0,0,0,0
207,"2_1",2,1,10.27176,4.63296,3.41376,0.850111111,47.62720924,-122.3936392,"2022_9_29_11-41-39_432.jpg",5,25,6,0,0,0,7,0,0,0,0,51,0,3,0,0,0,2
171,"2_1",2,1,11.46048,4.63296,3.41376,1.030666667,47.6270845,-122.3932553,"2022_9_29_11-41-39_168.jpg",17,11,10,17,0,0,1,6,0,1,0,0,0,31,0,0,0,0
199,"2_1",2,1,10.60704,4.63296,3.41376,0.911,47.62719124,-122.3935554,"2022_9_29_11-41-39_376.jpg",16,34,0,3,0,0,8,4,0,1,0,10,0,12,0,0,0,0
168,"2_1",2,1,11.24712,4.63296,3.41376,1.087222222,47.62708181,-122.393236,"2022_9_29_11-41-39_152.jpg",21,23,0,10,2,0,9,8,0,0,1,14,0,5,1,0,0,0
202,"2_1",2,1,12.13104,4.63296,3.41376,1.143444444,47.62706097,-122.3930762,"2022_9_29_11-41-39_40.jpg",48,0,0,0,0,3,29,0,0,4,1,0,0,15,0,0,0,0
164,"2_1",2,1,11.55192,4.63296,3.41376,0.745222222,47.62707549,-122.3931878,"2022_9_29_11-41-39_120.jpg",13,21,1,8,0,0,33,0,0,0,1,13,0,7,0,0,0,0
214,"2_1",2,1,12.28344,4.63296,3.41376,0.811111111,47.62706398,-122.3931066,"2022_9_29_11-41-39_64.jpg",15,1,4,3,0,0,38,0,0,0,0,29,0,7,0,0,0,0
178,"2_1",2,1,11.18616,4.63296,3.41376,1.047777778,47.62711117,-122.3933463,"2022_9_29_11-41-39_224.jpg",36,11,7,6,0,0,39,0,0,0,0,0,0,1,0,0,0,0
217,"2_1",2,1,11.8872,4.63296,3.41376,0.962222222,47.62706758,-122.3931265,"2022_9_29_11-41-39_80.jpg",12,8,3,12,0,0,11,0,0,0,0,29,0,15,0,0,0,0
163,"2_1",2,1,11.61288,4.63296,3.41376,0.852666667,47.62707386,-122.3931753,"2022_9_29_11-41-39_112.jpg",28,8,1,4,0,0,28,0,0,0,1,0,0,30,0,0,0,0
208,"2_1",2,1,9.99744,4.63296,3.41376,0.778222222,47.62721873,-122.3936361,"2022_9_29_11-41-39_440.jpg",1,3,2,0,0,0,2,0,0,0,0,92,0,0,0,0,0,0
209,"2_1",2,1,9.78408,4.63296,3.41376,0.524444444,47.62722938,-122.3936273,"2022_9_29_11-41-39_448.jpg",0,36,0,9,0,0,5,0,0,0,1,47,0,0,0,0,0,0
173,"2_1",2,1,11.39952,4.63296,3.41376,1.190444444,47.62708996,-122.3932817,"2022_9_29_11-41-39_184.jpg",9,13,0,0,0,0,3,0,0,0,0,63,0,12,0,0,0,0
206,"2_1",2,1,10.3632,4.63296,3.41376,1.0473,47.62721232,-122.3936303,"2022_9_29_11-41-39_424.jpg",11,35,1,0,0,0,6,0,0,1,0,41,0,5,0,0,0,0
195,"2_1",2,1,10.63752,4.63296,3.41376,0.885666667,47.62717916,-122.3935175,"2022_9_29_11-41-39_344.jpg",11,25,0,1,2,0,6,0,0,0,0,48,0,7,0,0,0,0
190,"2_1",2,1,10.18032,4.63296,3.41376,0.928,47.62717375,-122.3934684,"2022_9_29_11-41-39_312.jpg",20,42,0,6,2,0,13,1,0,0,0,0,0,12,0,0,0,0
216,"2_1",2,1,12.25296,4.63296,3.41376,0.957888889,47.6270739,-122.3930316,"2022_9_29_11-41-39_8.jpg",11,13,14,10,3,0,13,0,0,1,1,22,0,4,0,0,0,0
201,"2_1",2,1,10.42416,4.63296,3.41376,0.870777778,47.62720091,-122.3935762,"2022_9_29_11-41-39_392.jpg",12,44,1,15,0,0,2,0,0,1,0,23,0,2,0,0,0,0
177,"2_1",2,1,11.15568,4.63296,3.41376,1.007111111,47.62710676,-122.3933342,"2022_9_29_11-41-39_216.jpg",8,20,0,29,0,0,4,0,0,0,0,36,0,2,0,0,0,0
161,"2_1",2,1,12.25296,4.63296,3.41376,1.009111111,47.6270751,-122.3930206,"2022_9_29_11-41-39_0.jpg",0,0,31,3,0,0,10,0,0,0,0,53,0,3,0,0,0,0
169,"2_1",2,1,12.10056,4.63296,3.41376,0.999777778,47.62707296,-122.3930406,"2022_9_29_11-41-39_16.jpg",11,11,5,9,6,0,18,0,0,9,3,13,0,14,1,0,0,0
200,"2_1",2,1,10.42416,4.63296,3.41376,0.861777778,47.6271959,-122.393566,"2022_9_29_11-41-39_384.jpg",9,35,1,8,0,0,9,1,0,0,0,33,0,4,0,0,0,0
179,"2_1",2,1,11.18616,4.63296,3.41376,0.933777778,47.62711695,-122.3933564,"2022_9_29_11-41-39_232.jpg",7,25,3,7,0,0,58,0,0,0,0,0,0,0,0,0,0,0
