"image_name","site","transect","boulder","brown_algae_sargassum","cobble","green_algae_ulva","kelp_sugar","pebble","red_algae_filamentous","red_algae_flat_leaf","sand_fine_shell","unknown_area","anthropogenic","kelp_five_rib","mobile_species","red_algae_bushy","brown_algae_fucus","red_algae_branching","silt","brown_algae_filamentous","shell_hash","kelp_stipe","kelp_holdfast","sessile_invert"
"2024_10_08_11-41-33.jpg","Centennial_Park","5",0,0,0.02,0.18,0.28,0.08,0,0.1,0.06,0,0,0,0,0.18,0,0,0.1,0,0,0,0,0
"2024_10_08_11-41-42.jpg","Centennial_Park","5",0,0,0.1,0.38,0.08,0.04,0,0.18,0.1,0,0,0,0,0.02,0,0,0.1,0,0,0,0,0
"2024_10_08_11-41-51.jpg","Centennial_Park","5",0,0.08,0.04,0.16,0,0.06,0.02,0.14,0.1,0.02,0,0,0,0.16,0,0.02,0.16,0.04,0,0,0,0
"2024_10_08_11-42-00.jpg","Centennial_Park","5",0.04,0,0.04,0.18,0.12,0.04,0,0.24,0.08,0,0,0,0,0.04,0,0.02,0.18,0.02,0,0,0,0
"2024_10_08_11-42-09.jpg","Centennial_Park","5",0,0,0.02,0.56,0.16,0,0.02,0.08,0,0.08,0,0,0,0,0,0.08,0,0,0,0,0,0
"2024_10_08_11-42-18.jpg","Centennial_Park","5",0,0,0.02,0.66,0,0.06,0.04,0.04,0,0.06,0,0,0,0.02,0,0.08,0,0.02,0,0,0,0
"2024_10_08_11-42-27.jpg","Centennial_Park","5",0,0,0,0.3,0.1,0.08,0.06,0.06,0,0.04,0,0,0,0.02,0,0.3,0.04,0,0,0,0,0
"2024_10_08_11-42-36.jpg","Centennial_Park","5",0.04,0,0,0.5,0.06,0,0.06,0.12,0.02,0.14,0,0,0,0,0,0.06,0,0,0,0,0,0
"2024_10_08_11-42-45.jpg","Centennial_Park","5",0.02,0.04,0.02,0.44,0,0.08,0,0.14,0.02,0.08,0,0,0,0,0,0.16,0,0,0,0,0,0
"2024_10_08_11-42-54.jpg","Centennial_Park","5",0,0,0.02,0.62,0,0.16,0,0.08,0,0.06,0,0,0,0,0,0.06,0,0,0,0,0,0
"2024_10_08_11-43-03.jpg","Centennial_Park","5",0.04,0,0.06,0.5,0,0.02,0.04,0.06,0,0.08,0,0,0,0,0,0.12,0.02,0.04,0,0.02,0,0
"2024_10_08_11-43-12.jpg","Centennial_Park","5",0,0,0.08,0.48,0,0.02,0.12,0.06,0,0.02,0,0,0,0,0,0.2,0,0.02,0,0,0,0
"2024_10_08_11-43-21.jpg","Centennial_Park","5",0,0.04,0.08,0.48,0,0.06,0,0.06,0,0.1,0,0,0,0.02,0,0.16,0,0,0,0,0,0
"2024_10_08_11-43-30.jpg","Centennial_Park","5",0,0,0,0.56,0,0,0.04,0.02,0,0.02,0,0,0,0,0,0.36,0,0,0,0,0,0
"2024_10_08_11-43-39.jpg","Centennial_Park","5",0,0,0,0.44,0,0,0.02,0.2,0,0.06,0,0,0,0.02,0,0.26,0,0,0,0,0,0
"2024_10_08_11-43-48.jpg","Centennial_Park","5",0.06,0,0.1,0.46,0.04,0.16,0.08,0.02,0.02,0.04,0,0,0,0,0,0.02,0,0,0,0,0,0
"2024_10_08_11-43-57.jpg","Centennial_Park","5",0,0,0.02,0.16,0,0.06,0.06,0.26,0.06,0,0,0,0,0.28,0,0.08,0.02,0,0,0,0,0
"2024_10_08_11-44-06.jpg","Centennial_Park","5",0.08,0,0.06,0.5,0,0.02,0.04,0.04,0.02,0,0,0,0,0.02,0,0.18,0.04,0,0,0,0,0
"2024_10_08_11-44-15.jpg","Centennial_Park","5",0,0,0.04,0.5,0.12,0,0.08,0,0,0.04,0,0,0.02,0,0,0.18,0,0,0,0,0.02,0
"2024_10_08_11-57-58.jpg","Centennial_Park","5",0,0,0.04,0.6,0,0.02,0.04,0.12,0,0.1,0,0,0,0,0,0.02,0,0,0,0.06,0,0
"2024_10_08_11-58-07.jpg","Centennial_Park","5",0.04,0,0.02,0.64,0,0,0.04,0.14,0,0,0,0,0,0,0,0.1,0.02,0,0,0,0,0
"2024_10_08_11-58-16.jpg","Centennial_Park","5",0.06,0.02,0.14,0.6,0,0,0.02,0.08,0.02,0.02,0,0,0,0,0,0,0.04,0,0,0,0,0
"2024_10_08_11-58-25.jpg","Centennial_Park","5",0.04,0.06,0.12,0.28,0,0.06,0.02,0.08,0,0,0,0,0,0,0,0.18,0.16,0,0,0,0,0
"2024_10_08_11-58-34.jpg","Centennial_Park","5",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024_10_08_11-58-43.jpg","Centennial_Park","5",0.06,0,0.08,0.42,0,0.04,0.06,0.08,0,0.06,0,0,0,0,0,0.2,0,0,0,0,0,0
"2024_10_08_11-58-52.jpg","Centennial_Park","5",0,0.06,0.04,0.56,0.02,0.04,0.08,0.08,0,0.06,0,0,0,0,0,0.06,0,0,0,0,0,0
"2024_10_08_11-59-01.jpg","Centennial_Park","5",0.16,0,0.04,0.42,0.04,0.2,0,0,0,0.08,0,0,0,0,0,0.06,0,0,0,0,0,0
"2024_10_08_11-59-10.jpg","Centennial_Park","5",0.02,0,0,0.42,0,0,0.08,0.18,0,0.04,0,0,0,0,0,0.26,0,0,0,0,0,0
"2024_10_08_11-59-19.jpg","Centennial_Park","5",0.02,0,0.02,0.66,0.04,0.04,0.02,0.1,0,0.04,0,0,0.02,0,0,0.04,0,0,0,0,0,0
"2024_10_08_11-59-28.jpg","Centennial_Park","5",0.14,0,0.02,0.68,0,0.06,0.04,0,0,0,0,0,0,0.02,0,0.02,0.02,0,0,0,0,0
"2024_10_08_11-59-37.jpg","Centennial_Park","5",0.02,0,0.02,0.54,0,0,0.04,0.24,0,0.04,0,0,0,0,0,0.1,0,0,0,0,0,0
"2024_10_08_11-59-46.jpg","Centennial_Park","5",0.02,0,0.06,0.52,0,0.08,0.06,0,0,0.04,0,0,0,0.02,0,0.2,0,0,0,0,0,0
"2024_10_08_11-59-55.jpg","Centennial_Park","5",0.06,0.02,0.02,0.42,0,0.08,0.02,0.1,0,0.02,0,0,0.04,0.02,0,0.16,0.04,0,0,0,0,0
"2024_10_08_12-00-04.jpg","Centennial_Park","5",0.1,0.02,0.06,0.14,0,0.1,0.02,0.26,0.04,0,0,0,0,0.04,0,0.2,0.02,0,0,0,0,0
"2024_10_08_12-00-13.jpg","Centennial_Park","5",0.02,0,0,0.56,0,0.04,0.06,0.06,0.02,0.02,0,0,0,0,0,0.18,0.02,0,0,0.02,0,0
"2024_10_08_12-00-22.jpg","Centennial_Park","5",0,0.02,0,0.66,0.02,0,0.02,0.06,0,0.08,0,0,0,0.02,0,0.1,0,0,0,0.02,0,0
"2024_10_08_12-00-31.jpg","Centennial_Park","5",0,0,0,0.52,0.02,0.02,0.06,0.1,0.02,0.02,0,0,0,0,0,0.2,0,0.02,0,0.02,0,0
"2024_10_08_12-00-40.jpg","Centennial_Park","5",0.02,0,0.06,0.58,0,0.04,0,0.1,0,0.02,0,0,0,0,0,0.16,0,0,0.02,0,0,0
"2024_10_08_12-00-49.jpg","Centennial_Park","5",0,0.02,0,0.72,0,0.06,0.04,0,0,0.04,0,0,0,0,0,0.12,0,0,0,0,0,0
"2024_10_08_12-00-58.jpg","Centennial_Park","5",0,0,0,0.34,0.26,0.18,0,0.08,0.02,0.04,0,0,0,0,0,0.04,0,0,0,0.04,0,0
"2024_10_08_12-01-07.jpg","Centennial_Park","5",0,0,0,0.72,0.02,0,0.06,0.06,0,0.04,0,0,0,0.02,0,0.08,0,0,0,0,0,0
"2024_10_08_12-01-16.jpg","Centennial_Park","5",0,0,0.02,0.82,0,0.06,0,0.04,0,0.02,0,0,0,0,0,0.02,0.02,0,0,0,0,0
"2024_10_08_12-01-25.jpg","Centennial_Park","5",0.04,0,0.02,0.52,0,0.02,0.08,0.16,0.02,0.12,0,0,0,0,0,0,0.02,0,0,0,0,0
"2024_10_08_12-01-34.jpg","Centennial_Park","5",0.04,0.02,0.06,0.56,0.02,0,0.1,0.08,0,0,0,0,0.02,0,0,0.04,0.06,0,0,0,0,0
"2024_10_08_12-01-43.jpg","Centennial_Park","5",0.06,0,0.02,0.36,0,0.04,0.04,0.16,0.02,0.06,0,0,0,0.08,0,0.08,0.08,0,0,0,0,0
"2024_10_08_12-01-52.jpg","Centennial_Park","5",0.06,0.02,0.02,0.34,0,0,0.08,0.16,0,0.08,0,0,0,0.1,0,0.02,0.1,0,0,0,0,0.02
"2024_10_08_12-02-01.jpg","Centennial_Park","5",0.04,0.02,0.06,0.28,0,0.04,0,0.22,0.02,0,0.02,0,0,0.04,0,0,0.26,0,0,0,0,0
"2024_10_08_12-02-10.jpg","Centennial_Park","5",0,0,0,0.7,0,0.04,0,0.02,0,0,0,0,0,0.02,0,0,0.22,0,0,0,0,0
"2024_10_08_12-02-19.jpg","Centennial_Park","5",0.04,0,0.06,0.18,0.38,0,0,0,0,0.04,0.02,0,0,0.14,0,0,0.14,0,0,0,0,0
"2024_10_08_12-02-28.jpg","Centennial_Park","5",0,0.02,0.02,0.56,0,0.04,0,0.02,0,0.08,0,0,0,0.2,0,0,0.06,0,0,0,0,0
"2024_10_08_12-02-37.jpg","Centennial_Park","5",0,0.02,0.04,0.46,0.04,0,0,0.26,0,0.02,0,0,0,0.14,0,0,0.02,0,0,0,0,0
"2024_10_08_12-02-46.jpg","Centennial_Park","5",0.04,0.1,0.02,0.4,0.04,0,0.04,0.12,0,0.06,0,0,0.02,0.06,0,0.06,0.04,0,0,0,0,0
"2024_10_08_12-02-55.jpg","Centennial_Park","5",0.04,0,0.04,0.46,0.02,0,0.02,0.12,0.02,0.04,0,0,0.04,0.16,0,0.02,0.02,0,0,0,0,0
"2024_10_08_12-03-04.jpg","Centennial_Park","5",0,0.18,0.02,0.46,0.02,0,0.02,0.24,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0
