SU,site_name,site,transect,stipes,bundles,anem_SI,crab_MS,CucEmb_SI,encru_SI,HydBry_SI,KelpBry_SI,SStar_MS,Shell_SU,SS_SU,bould_SU,cob_SU,concr_SU,lgshell_SU,peb_SU,reef_SU,wood_SU,anth_SU,fish_MS,metal_SU,X5rib_KE,art_CA,branch_RE,broad_KE,bullBL_KE,bullST_KE,bushy_RE,cabb_KE,coland_KE,cord_KE,crust_CA,filam_BR,filam_RE,fucus_BR,holdfas_BR,LaEph_KE,leaf_RE,palm_KE,ribbn_KE,sargass_BR,senes_AL,senes_RE,stalk_KE,StriAci_BR,sugar_KE,ulva_GR,unk_BR,unk_RE,eel_SG,surf_SG
23,Sspring,6,3,137,21,0,11,0,0,0,0,0,256,161,25,126,0,0,277,0,0,0,0,0,4,6,103,0,234,10,12,0,8,0,11,0,21,0,0,0,393,0,12,782,13,0,0,0,1573,1084,27,30,0,0
24,Sspring,6,4,69,15,0,19,0,0,0,0,0,299,213,30,149,0,0,303,0,0,0,0,0,0,6,116,0,97,3,28,0,0,0,9,3,20,0,0,0,477,0,25,751,5,0,0,0,1574,1244,37,38,0,0
25,Pbeach,7,1,53,6,0,3,0,5,0,11,1,850,545,19,367,0,5,705,0,1,0,4,4,360,0,46,0,119,5,63,0,22,0,1,64,9,1,4,0,230,0,0,0,12,18,0,0,2474,215,129,25,0,0
26,Pbeach,7,2,1,0,0,1,0,7,0,6,1,440,340,19,230,0,4,397,0,0,0,6,6,125,0,58,0,100,6,31,0,27,0,0,44,8,1,0,0,142,0,0,0,2,2,0,0,1437,142,50,21,0,0
27,Pbeach,7,3,62,9,0,0,0,3,0,2,0,653,230,19,151,0,5,551,0,0,0,1,0,263,0,18,0,83,2,35,0,27,0,0,22,9,1,2,0,115,0,0,0,0,1,0,0,1048,98,104,15,0,0
28,Pbeach,7,4,30,5,0,2,0,7,0,8,0,425,242,19,160,0,3,610,0,0,0,0,0,137,0,21,0,68,5,53,0,12,0,0,22,7,1,3,0,128,0,0,0,6,7,0,0,1586,117,84,12,0,0
29,EWWay,8,1,7,1,0,4,0,4,0,3,4,420,1248,59,659,23,7,2118,0,40,19,2,1,23,15,102,0,17,12,63,0,2,0,2,162,287,0,4,0,375,1,0,7,12,118,0,0,824,159,132,73,0,0
30,EWWay,8,2,7,0,0,3,0,1,0,4,3,298,787,48,538,26,7,1613,0,17,10,3,1,16,15,75,0,5,8,23,0,2,0,2,115,184,0,2,0,274,0,0,7,11,103,0,0,577,113,97,57,0,0
31,EWWay,8,3,7,0,0,2,0,5,0,2,3,302,1077,46,491,15,3,1363,0,45,20,1,1,16,11,85,0,15,12,59,0,2,0,1,88,221,0,2,0,283,0,0,11,3,90,0,0,624,137,119,54,0,0
32,EWWay,8,4,8,1,0,2,0,7,0,2,6,279,849,62,534,22,5,1536,0,35,11,2,1,0,11,59,0,24,13,48,0,1,0,0,131,188,0,7,0,266,0,0,3,28,78,0,0,580,130,125,52,0,0
