# 1: Detection or Track-id,2: Video or Image Identifier,3: Unique Frame Identifier,4-7: Img-bbox(TL_x,TL_y,BR_x,BR_y),8: Detection or Length Confidence,9: Target Length (0 or -1 if invalid),10-11+: Repeated Species,Confidence Pairs or Attributes
# metadata,"exported_by: ""dive:python""","exported_time: ""Tue Jul 28 20:33:36 2026"""
34,2024_10_08_10-11-47.jpg,82,195,2399,593,2959,1.0,-1,CR_cancer,1.0
35,2024_10_08_10-11-50.jpg,83,50,3525,556,4036,1.0,-1,CR_cancer,1.0
36,2024_10_08_10-11-50.jpg,83,458,1526,719,1740,1.0,-1,SS_ochre,1.0
37,2024_10_08_10-11-47.jpg,82,417,302,610,391,1.0,-1,SS_ochre,1.0
38,2024_10_08_10-11-53.jpg,84,221,2580,504,2810,1.0,-1,SS_ochre,1.0
39,2024_10_08_10-11-59.jpg,86,512,-2,948,386,1.0,-1,SS_ochre,1.0
40,2024_10_08_10-12-02.jpg,87,178,1160,937,1962,1.0,-1,SS_ochre,1.0
41,2024_10_08_10-12-05.jpg,88,4225,2311,4520,2458,1.0,-1,fish_sculpin,1.0
42,2024_10_08_10-12-05.jpg,88,-3,3112,93,3295,1.0,-1,SS_ochre,1.0
43,2024_10_08_10-12-08.jpg,89,1633,-3,2025,182,1.0,-1,SS_ochre,1.0
44,2024_10_08_10-12-11.jpg,90,1178,1036,1656,1428,1.0,-1,SS_ochre,1.0
45,2024_10_08_10-12-11.jpg,90,3775,3556,4442,4035,1.0,-1,SS_ochre,1.0
46,2024_10_08_10-12-14.jpg,91,320,2471,713,2815,1.0,-1,SS_ochre,1.0
47,2024_10_08_10-12-14.jpg,91,3480,0,3681,119,1.0,-1,SS_ochre,1.0
48,2024_10_08_10-12-17.jpg,92,2709,1421,2899,1607,1.0,-1,SS_ochre,1.0
49,2024_10_08_10-12-17.jpg,92,2766,464,2927,586,1.0,-1,SS_ochre,1.0
50,2024_10_08_10-12-20.jpg,93,2449,1497,2591,1623,1.0,-1,SS_ochre,1.0
51,2024_10_08_10-12-20.jpg,93,2378,2441,2559,2622,1.0,-1,SS_ochre,1.0
52,2024_10_08_10-12-23.jpg,94,2150,3544,2344,3725,1.0,-1,SS_ochre,1.0
53,2024_10_08_10-12-56.jpg,105,922,1417,1275,1911,1.0,-1,CR_kelp,1.0
54,2024_10_08_10-12-59.jpg,106,852,3224,1230,3764,1.0,-1,CR_kelp,1.0
55,2024_10_08_10-13-05.jpg,108,3604,123,3818,517,1.0,-1,SS_ochre,1.0
56,2024_10_08_10-13-08.jpg,109,3525,1665,3745,2008,1.0,-1,SS_ochre,1.0
57,2024_10_08_10-13-11.jpg,110,3758,3373,4034,3795,1.0,-1,SS_ochre,1.0
58,2024_10_08_10-13-17.jpg,112,3155,236,3564,582,1.0,-1,AN_plumose,1.0
59,2024_10_08_10-13-20.jpg,113,1929,2879,2172,3170,1.0,-1,AN_plumose,1.0
60,2024_10_08_10-13-38.jpg,119,1374,2748,1612,3001,1.0,-1,SS_ochre,1.0
61,2024_10_08_10-13-41.jpg,120,1843,579,2101,1172,1.0,-1,SS_ochre,1.0
62,2024_10_08_10-13-41.jpg,120,3769,1609,4023,1977,1.0,-1,SS_ochre,1.0
63,2024_10_08_10-13-44.jpg,121,3960,2839,4224,3169,1.0,-1,SS_ochre,1.0
64,2024_10_08_10-13-44.jpg,121,2176,1997,2359,2509,1.0,-1,SS_ochre,1.0
65,2024_10_08_10-13-44.jpg,121,2055,1412,2204,1601,1.0,-1,SS_ochre,1.0
66,2024_10_08_10-13-41.jpg,120,1832,-3,1998,148,1.0,-1,SS_ochre,1.0
67,2024_10_08_10-13-47.jpg,122,2844,1813,3138,2144,1.0,-1,SS_ochre,1.0
68,2024_10_08_10-36-34.jpg,138,1655,2697,2004,2922,1.0,-1,CR_sharp,1.0
69,2024_10_08_10-36-52.jpg,144,641,1321,1069,1734,1.0,-1,SS_ochre,1.0
70,2024_10_08_10-36-55.jpg,145,2866,-1,3192,271,1.0,-1,SS_ochre,1.0
71,2024_10_08_10-36-58.jpg,146,3010,1257,3459,1868,1.0,-1,SS_ochre,1.0
72,2024_10_08_10-37-01.jpg,147,3180,2724,3626,3250,1.0,-1,SS_ochre,1.0
73,2024_10_08_10-37-10.jpg,150,1208,1915,1530,2126,1.0,-1,SS_ochre,1.0
74,2024_10_08_10-37-16.jpg,152,1085,-6,1505,116,1.0,-1,CR_cancer,1.0
75,2024_10_08_10-37-19.jpg,153,1357,1130,2286,1892,1.0,-1,CR_cancer,1.0
76,2024_10_08_10-37-22.jpg,154,2277,1928,3126,2710,1.0,-1,CR_cancer,1.0
77,2024_10_08_10-37-25.jpg,155,2943,2931,3697,3509,1.0,-1,CR_cancer,1.0
78,2024_10_08_10-37-25.jpg,155,2857,408,3359,1503,1.0,-1,CR_kelp,1.0
80,2024_10_08_10-38-04.jpg,168,540,1573,1134,2633,1.0,-1,fish_flat,1.0
81,2024_10_08_10-38-07.jpg,169,2856,2902,3296,3471,1.0,-1,CR_cancer,1.0
82,2024_10_08_10-38-07.jpg,169,3777,155,4244,629,1.0,-1,SS_ochre,1.0
83,2024_10_08_10-38-10.jpg,170,465,1477,1292,2367,1.0,-1,SS_ochre,1.0
84,2024_10_08_10-38-13.jpg,171,679,3292,1554,4034,1.0,-1,SS_ochre,1.0
85,2024_10_08_10-38-16.jpg,172,1962,969,2166,1126,1.0,-1,fish_sculpin,1.0
86,2024_10_08_10-38-28.jpg,176,1765,700,2460,1215,1.0,-1,SS_ochre,1.0
87,2024_10_08_10-38-28.jpg,176,694,1286,865,1367,1.0,-1,SS_ochre,1.0
88,2024_10_08_10-38-31.jpg,177,1912,2653,2564,3104,1.0,-1,SS_ochre,1.0
89,2024_10_08_10-38-46.jpg,182,4257,1,4607,390,1.0,-1,SS_ochre,1.0
90,2024_10_08_10-38-49.jpg,183,4490,1468,4607,1567,1.0,-1,SS_ochre,1.0
91,2024_10_08_10-39-04.jpg,188,626,456,1208,960,1.0,-1,SS_ochre,1.0
92,2024_10_08_10-39-07.jpg,189,785,2592,1313,3034,1.0,-1,SS_ochre,1.0
93,2024_10_08_10-39-10.jpg,190,3004,311,3406,744,1.0,-1,SS_ochre,1.0
94,2024_10_08_10-39-13.jpg,191,3194,1957,3539,2389,1.0,-1,SS_ochre,1.0
95,2024_10_08_10-39-16.jpg,192,3290,3707,3629,4034,1.0,-1,SS_ochre,1.0
96,2024_10_08_10-39-46.jpg,202,1798,3126,1918,3442,1.0,-1,fish_sculpin,1.0
97,2024_10_08_10-39-52.jpg,204,2335,2673,3017,3199,1.0,-1,fish_flat,1.0
98,2024_10_08_10-36-31.jpg,137,1751,1041,1962,1312,1.0,-1,CL_scall,1.0
99,2024_10_08_10-38-01.jpg,167,216,1,749,376,1.0,-1,fish_flat,1.0
100,2024_10_08_10-38-49.jpg,183,2926,1114,3009,1300,1.0,-1,fish_sculpin,1.0
101,2024_10_08_10-13-47.jpg,122,2103,1890,2221,2019,1.0,-1,fish_sculpin,1.0
102,2024_10_08_10-36-49.jpg,143,2817,1672,2929,1917,1.0,-1,fish_sculpin,1.0
103,2024_10_08_10-36-46.jpg,142,2649,182,2767,474,1.0,-1,fish_sculpin,1.0
104,2024_10_08_10-09-56.jpg,45,3887,1113,4111,1238,1.0,-1,fish_sculpin,1.0
