"site","transect","transect_id","key","season","depth","type","n_photos","ochre_mottled_star","cancer_crab","burrowing_sea_cucumber","kelp_crab","leather_star","plumose_anemone","green_white_urchin","california_sea_cucumber","blood_star","large_anemone"
"Elliott_Bay_Marina",4,"4 Elliott_Bay_Marina","EBM_4_winter","winter","shallow","diver",NA,57,0,9,6,12,0,1,3,0,2
"Elliott_Bay_Marina",5,"5 Elliott_Bay_Marina","EBM_5_winter","winter","shallow","diver",NA,16,0,1,6,7,0,2,1,1,0
"Elliott_Bay_Marina",6,"6 Elliott_Bay_Marina","EBM_6_winter","winter","shallow","diver",NA,30,1,12,11,7,3,0,4,1,1
"Centennial_Park",1,"1 Centennial_Park","CP_1_summer","summer","deep","ROV",62,20,1,0,1,0,1,0,0,0,0
"Centennial_Park",1,"1 Centennial_Park","CP_1_winter","winter","deep","ROV",62,37,130,0,0,0,0,0,0,0,0
"Centennial_Park",2,"2 Centennial_Park","CP_2_summer","summer","deep","ROV",64,16,3,0,0,0,0,0,0,0,0
"Centennial_Park",2,"2 Centennial_Park","CP_2_winter","winter","deep","ROV",60,41,2,0,0,0,0,0,0,0,0
"Centennial_Park",3,"3 Centennial_Park","CP_3_summer","summer","deep","ROV",56,34,3,0,0,0,0,0,0,0,0
"Centennial_Park",3,"3 Centennial_Park","CP_3_winter","winter","deep","ROV",60,22,0,0,0,0,0,0,0,0,0
"Centennial_Park",4,"4 Centennial_Park","CP_4_summer","summer","shallow","ROV",50,28,2,0,3,0,1,0,0,0,0
"Centennial_Park",4,"4 Centennial_Park","CP_4_winter","winter","shallow","ROV",67,31,1,0,0,0,0,0,0,0,0
"Centennial_Park",5,"5 Centennial_Park","CP_5_summer","summer","shallow","ROV",63,19,2,1,5,0,3,0,0,0,0
"Centennial_Park",5,"5 Centennial_Park","CP_5_winter","winter","shallow","ROV",66,55,2,1,0,0,1,0,0,0,1
"Centennial_Park",6,"6 Centennial_Park","CP_6_summer","summer","shallow","ROV",62,10,2,0,5,1,1,0,0,0,2
"Centennial_Park",6,"6 Centennial_Park","CP_6_winter","winter","shallow","ROV",64,35,3,0,0,0,0,0,0,1,0
"Elliott_Bay_Marina",1,"1 Elliott_Bay_Marina","EBM_1_summer","summer","deep","ROV",28,11,0,0,0,0,2,0,0,1,0
"Elliott_Bay_Marina",1,"1 Elliott_Bay_Marina","EBM_1_winter","winter","deep","ROV",60,17,1,7,0,1,15,0,6,0,0
"Elliott_Bay_Marina",2,"2 Elliott_Bay_Marina","EBM_2_summer","summer","deep","ROV",28,8,0,0,1,0,4,0,0,0,0
"Elliott_Bay_Marina",2,"2 Elliott_Bay_Marina","EBM_2_winter","winter","deep","ROV",60,34,0,16,4,0,4,0,1,2,0
"Elliott_Bay_Marina",3,"3 Elliott_Bay_Marina","EBM_3_summer","summer","deep","ROV",48,20,0,0,6,0,1,0,3,1,0
"Elliott_Bay_Marina",3,"3 Elliott_Bay_Marina","EBM_3_winter","winter","deep","ROV",58,21,0,35,0,2,6,0,3,1,3
"Elliott_Bay_Marina",4,"4 Elliott_Bay_Marina","EBM_4_summer","summer","shallow","ROV",47,102,0,3,4,9,0,13,0,0,0
"Elliott_Bay_Marina",4,"4 Elliott_Bay_Marina","EBM_4_winter","winter","shallow","ROV",58,65,2,12,3,4,0,11,4,3,0
"Elliott_Bay_Marina",5,"5 Elliott_Bay_Marina","EBM_5_summer","summer","shallow","ROV",48,26,3,3,3,12,0,4,4,0,0
"Elliott_Bay_Marina",5,"5 Elliott_Bay_Marina","EBM_5_winter","winter","shallow","ROV",56,40,0,3,8,5,1,5,2,0,0
"Elliott_Bay_Marina",6,"6 Elliott_Bay_Marina","EBM_6_summer","summer","shallow","ROV",50,9,0,13,0,8,0,0,0,0,0
"Elliott_Bay_Marina",6,"6 Elliott_Bay_Marina","EBM_6_winter","winter","shallow","ROV",58,34,1,12,1,4,2,2,2,0,0
