"location","img_name","key","site","transect","depth","depth_site_span","depth_transect_span","altitude","GPS_x","GPS_y","richness","Shannon","Simpson","Pielou","cup_SI","anem_SI","bivalve_SI","CaCuc_MS","crab_MS","CucEmb_SI","encru_SI","gastro_MS","HydBry_SI","KelpBry_SI","scallop_SI","SponSol_SI","SStar_MS","TunSol_SI","urchin_MS","shell_SU","SS_SU","bould_SU","cob_SU","concr_SU","lgshell_SU","peb_SU","reef_SU","wood_SU","anth_SU","fish_MS","glass_SU","metal_SU","poly_SU","UNIdent","X3rib_KE","X5rib_KE","art_CA","branch_RE","broad_KE","bullBL_KE","bullST_KE","bushy_RE","cabb_KE","coland_KE","cord_KE","crust_CA","DiRet_KE","feath_KE","filam_BR","filam_RE","FlatAci_BR","fucus_BR","giant_KE","holdfas_BR","LaEph_KE","LaLoSi_KE","leaf_RE","palm_KE","ribbn_KE","sargass_BR","senes_AL","senes_RE","split_KE","stalk_KE","strap_KE","StriAci_BR","sugar_KE","ulva_GR","undaria_BR","unk_BR","unk_RE","eel_SG","surf_SG","AN_large","AN_plumose","CL_siphon","CR_cancer","CR_kelp","CR_sharp","CU_burrow","CU_cali","fish_gunn","fish_sculp","GR_kelp","GR_lingcod","GR_painted","RF_brown","RF_copper","SP_stripe","SP_kelp","SP_pile","SP_shiner","SS_blood","SS_leather","SS_ochre"
"other","2022_10_06_13-50-40_208.jpg","1_1","1","1",6.00456,1.28016,1.09728,0.948555556,47.63030207,-122.3985503,8,0.904644662881315,0.3686,0.435042122968514,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,2,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"other","2022_10_06_13-50-40_272.jpg","1_1","1","1",5.9436,1.28016,1.09728,0.978,47.63030755,-122.3986472,8,1.34813658911017,0.66013135967062,0.648316657183402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"other","2022_10_06_13-50-40_264.jpg","1_1","1","1",5.91312,1.28016,1.09728,0.983555556,47.63030704,-122.3986411,8,1.41754895511518,0.6664,0.681696949254002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,3,0,0,0,0,0,0,0,0,0,0,4,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"other","2022_10_06_13-50-40_408.jpg","1_1","1","1",5.69976,1.28016,1.09728,0.936222222,47.63032346,-122.3988476,9,1.11182131396054,0.474855406332713,0.506011686483337,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,6,3,1,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"other","2022_10_06_13-50-40_40.jpg","1_1","1","1",6.4008,1.28016,1.09728,0.936666667,47.6302734,-122.3982933,7,1.05741684631503,0.4856,0.543404764515143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,3,2,0,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"other","2022_10_06_13-50-40_472.jpg","1_1","1","1",5.6388,1.28016,1.09728,1.047,47.63033169,-122.3989541,3,0.111902056890931,0.0394000000000001,0.101857641722353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"other","2022_10_06_13-50-40_424.jpg","1_1","1","1",5.42544,1.28016,1.09728,0.9181,47.63032538,-122.3988719,14,2.07451233843243,0.782583621683968,0.786080815733877,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,9,4,4,0,0,0,0,0,0,0,0,0,0,6,0,3,0,3,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,44,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"other","2022_10_06_13-50-40_448.jpg","1_1","1","1",5.60832,1.28016,1.09728,0.960888889,47.63032863,-122.3989148,5,0.37580997704698,0.1514,0.233503867495334,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"other","2022_10_06_13-50-40_368.jpg","1_1","1","1",5.76072,1.28016,1.09728,1.012,47.63031929,-122.3987944,10,1.55364675030656,0.7058,0.674740210485059,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,1,0,14,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"other","2022_10_06_13-50-40_248.jpg","1_1","1","1",5.91312,1.28016,1.09728,0.9673,47.63030448,-122.3986124,6,0.658660221420997,0.2868,0.367605268861656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"other","2022_10_06_13-50-40_160.jpg","1_1","1","1",6.00456,1.28016,1.09728,0.991333333,47.63029563,-122.3984757,8,0.836041959922167,0.351,0.402051196518267,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,3,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"other","2022_10_06_13-50-40_480.jpg","1_1","1","1",5.6388,1.28016,1.09728,1.0624,47.63033309,-122.3989724,6,0.65624449574288,0.2862,0.366257026689866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,84,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"other","2022_10_06_13-50-40_112.jpg","1_1","1","1",6.03504,1.28016,1.09728,1.039111111,47.63028532,-122.398393,10,1.71640920920282,0.74228016861092,0.745427048244708,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,6,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"other","2022_10_06_13-50-40_256.jpg","1_1","1","1",5.9436,1.28016,1.09728,1.008777778,47.63030583,-122.3986279,6,0.570735723771324,0.2382,0.318533672389193,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"other","2022_10_06_13-50-40_64.jpg","1_1","1","1",6.33984,1.28016,1.09728,0.970777778,47.63027668,-122.3983229,7,1.18649129226167,0.5472,0.609735908329418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,1,0,0,4,0,0,0,0,0,0,0,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"other","2022_10_06_13-50-40_344.jpg","1_1","1","1",5.7912,1.28016,1.09728,0.929111111,47.63031651,-122.3987578,6,0.849898748014946,0.3792,0.474337522759742,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"other","2022_10_06_13-50-40_400.jpg","1_1","1","1",5.73024,1.28016,1.09728,0.978,47.63032278,-122.3988383,4,0.851409867817895,0.4614,0.614162397032402,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"other","2022_10_06_13-50-40_376.jpg","1_1","1","1",5.73024,1.28016,1.09728,1.041666667,47.63031993,-122.3988029,8,1.27569420674193,0.5728,0.613479235252456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"other","2022_10_06_13-50-40_144.jpg","1_1","1","1",6.18744,1.28016,1.09728,1.022777778,47.63029282,-122.3984527,11,1.31997303923725,0.5356,0.550471513168641,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,7,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"other","2022_10_06_13-50-40_216.jpg","1_1","1","1",5.97408,1.28016,1.09728,1.045222222,47.63030229,-122.3985628,8,1.02567386969396,0.4388,0.493244868458956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"other","2022_10_06_13-50-40_232.jpg","1_1","1","1",6.06552,1.28016,1.09728,0.871,47.63030291,-122.3985889,8,1.36794545127309,0.6056,0.657842706252767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"other","2022_10_06_13-50-40_96.jpg","1_1","1","1",6.2484,1.28016,1.09728,0.9608,47.63028217,-122.3983673,10,1.1484362158397,0.4914,0.498759511357032,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,2,1,1,0,0,7,0,0,0,0,0,0,0,1,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"other","2022_10_06_13-50-40_104.jpg","1_1","1","1",6.27888,1.28016,1.09728,0.933333333,47.63028363,-122.3983792,12,1.5316397395971,0.614645622978139,0.616377174461571,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,8,5,0,6,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"other","2022_10_06_13-50-40_80.jpg","1_1","1","1",6.2484,1.28016,1.09728,1.013555556,47.63027941,-122.3983449,9,1.43319120323787,0.6766,0.652273426221814,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,28,1,0,7,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"other","2022_10_06_13-50-40_456.jpg","1_1","1","1",5.60832,1.28016,1.09728,1.055777778,47.63032966,-122.398927,4,0.16770053683981,0.0588000000000001,0.120970366426605,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"other","2022_10_06_13-50-40_56.jpg","1_1","1","1",6.33984,1.28016,1.09728,0.973555556,47.63027512,-122.3983102,8,1.13038372430858,0.5092,0.54359966445386,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,4,0,4,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"other","2022_10_06_13-50-40_384.jpg","1_1","1","1",5.69976,1.28016,1.09728,1.025111111,47.63032097,-122.3988154,9,1.17768406070835,0.5254,0.535987114314961,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,2,0,0,8,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"other","2022_10_06_13-50-40_280.jpg","1_1","1","1",5.88264,1.28016,1.09728,0.9532,47.63030853,-122.3986584,7,1.37935352018761,0.6792,0.708847487566292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"other","2022_10_06_13-50-40_288.jpg","1_1","1","1",6.00456,1.28016,1.09728,0.969111111,47.63030952,-122.3986698,10,0.89500270481691,0.3532,0.388694735990469,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,1,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"other","2022_10_06_13-50-40_360.jpg","1_1","1","1",5.82168,1.28016,1.09728,1.024555556,47.63031843,-122.3987833,11,1.62253786975476,0.712675227918832,0.67665084800023,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,13,1,0,19,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"other","2022_10_06_13-50-40_352.jpg","1_1","1","1",5.7912,1.28016,1.09728,1.018222222,47.63031752,-122.3987708,7,1.00145695292151,0.4378,0.514647068061026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"other","2022_10_06_13-50-40_184.jpg","1_1","1","1",5.9436,1.28016,1.09728,1.002222222,47.63030051,-122.3985163,12,1.42453943288124,0.5722,0.573276840400735,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,5,0,0,1,0,0,0,0,0,0,0,5,0,0,0,1,0,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"other","2022_10_06_13-50-40_464.jpg","1_1","1","1",5.60832,1.28016,1.09728,1.129111111,47.63033068,-122.3989407,4,0.337619126949291,0.1498,0.243540720079502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"other","2022_10_06_13-50-40_8.jpg","1_1","1","1",6.46176,1.28016,1.09728,0.9858,47.63026891,-122.3982495,9,1.37921828228067,0.5982,0.627709291306376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,7,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"other","2022_10_06_13-50-40_312.jpg","1_1","1","1",5.91312,1.28016,1.09728,0.969111111,47.63031317,-122.3987124,9,1.02147140804182,0.444466228801098,0.464891672238705,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,3,0,3,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"other","2022_10_06_13-50-40_48.jpg","1_1","1","1",6.33984,1.28016,1.09728,1.003222222,47.63027427,-122.3983026,9,1.71483497667129,0.7504,0.780455031478964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,8,0,8,0,0,5,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
