"SU","key","site","transect","depth","depth_site_span","depth_transect_span","altitude","GPS_x","GPS_y","img_name","cup_SI","anem_SI","bivalve_SI","CaCuc_MS","crab_MS","CucEmb_SI","encru_SI","gastro_MS","HydBry_SI","KelpBry_SI","scallop_SI","SponSol_SI","SStar_MS","TunSol_SI","urchin_MS","shell_SU","SS_SU","bould_SU","cob_SU","concr_SU","lgshell_SU","peb_SU","reef_SU","wood_SU","anth_SU","fish_MS","glass_SU","metal_SU","poly_SU","UNIdent","X3rib_KE","X5rib_KE","art_CA","branch_RE","broad_KE","bullBL_KE","bullST_KE","bushy_RE","cabb_KE","coland_KE","cord_KE","crust_CA","DiRet_KE","feath_KE","filam_BR","filam_RE","FlatAci_BR","fucus_BR","giant_KE","holdfas_BR","LaEph_KE","LaLoSi_KE","leaf_RE","palm_KE","ribbn_KE","sargass_BR","senes_AL","senes_RE","split_KE","stalk_KE","strap_KE","StriAci_BR","sugar_KE","ulva_GR","undaria_BR","unk_BR","unk_RE","eel_SG","surf_SG"
11,"1_1",1,1,6.03504,1.28016,1.09728,1.0166,47.63029736,-122.3984893,"2022_10_06_13-50-40_168.jpg",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,75,1,0,0,0,0,0
12,"1_1",1,1,6.00456,1.28016,1.09728,1.036666667,47.6302991,-122.3985031,"2022_10_06_13-50-40_176.jpg",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,9,1,1,0,0,0,0,0,0,0,0,0,0,22,0,2,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,1,0,0,0,0,0
13,"1_1",1,1,5.9436,1.28016,1.09728,1.002222222,47.63030051,-122.3985163,"2022_10_06_13-50-40_184.jpg",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,5,0,0,1,0,0,0,0,0,0,0,5,0,0,0,1,0,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,3,0,9,0,0,0
14,"1_1",1,1,6.00456,1.28016,1.09728,0.997111111,47.63030161,-122.3985242,"2022_10_06_13-50-40_192.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,8,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,73,2,0,5,0,0,0
15,"1_1",1,1,5.97408,1.28016,1.09728,0.972,47.63030188,-122.3985406,"2022_10_06_13-50-40_200.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,4,0,0,0
16,"1_1",1,1,6.00456,1.28016,1.09728,0.948555556,47.63030207,-122.3985503,"2022_10_06_13-50-40_208.jpg",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,2,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,3,0,0,0
17,"1_1",1,1,5.97408,1.28016,1.09728,1.045222222,47.63030229,-122.3985628,"2022_10_06_13-50-40_216.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,1,0,7,0,0,0
18,"1_1",1,1,5.91312,1.28016,1.09728,1.068111111,47.63030245,-122.3985749,"2022_10_06_13-50-40_224.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,6,0,1,0,0,0
19,"1_1",1,1,6.06552,1.28016,1.09728,0.871,47.63030291,-122.3985889,"2022_10_06_13-50-40_232.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,3,0,4,0,0,0
20,"1_1",1,1,6.43128,1.28016,1.09728,0.964555556,47.63027104,-122.3982706,"2022_10_06_13-50-40_24.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,0,11,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,2,0,3,0,0,0
21,"1_1",1,1,5.91312,1.28016,1.09728,0.974777778,47.63030327,-122.3985967,"2022_10_06_13-50-40_240.jpg",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,7,0,16,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,28,4,0,7,0,0,0
22,"1_1",1,1,5.91312,1.28016,1.09728,0.9673,47.63030448,-122.3986124,"2022_10_06_13-50-40_248.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,1,0,0,0
23,"1_1",1,1,5.9436,1.28016,1.09728,1.008777778,47.63030583,-122.3986279,"2022_10_06_13-50-40_256.jpg",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,1,0,0,0
24,"1_1",1,1,5.91312,1.28016,1.09728,0.983555556,47.63030704,-122.3986411,"2022_10_06_13-50-40_264.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,3,0,0,0,0,0,0,0,0,0,0,4,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,2,0,5,0,0,0
25,"1_1",1,1,5.9436,1.28016,1.09728,0.978,47.63030755,-122.3986472,"2022_10_06_13-50-40_272.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,8,0,0,0
26,"1_1",1,1,5.88264,1.28016,1.09728,0.9532,47.63030853,-122.3986584,"2022_10_06_13-50-40_280.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,5,0,0,0
27,"1_1",1,1,6.00456,1.28016,1.09728,0.969111111,47.63030952,-122.3986698,"2022_10_06_13-50-40_288.jpg",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,1,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,1,0,4,0,0,0
28,"1_1",1,1,5.97408,1.28016,1.09728,0.991,47.6303108,-122.3986843,"2022_10_06_13-50-40_296.jpg",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,2,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,2,0,0,0
29,"1_1",1,1,5.97408,1.28016,1.09728,0.958111111,47.63031192,-122.3986977,"2022_10_06_13-50-40_304.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,7,0,0,0
30,"1_1",1,1,5.91312,1.28016,1.09728,0.969111111,47.63031317,-122.3987124,"2022_10_06_13-50-40_312.jpg",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,3,0,3,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,1,0,0,0
31,"1_1",1,1,6.4008,1.28016,1.09728,0.949888889,47.63027236,-122.3982832,"2022_10_06_13-50-40_32.jpg",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19,1,0,1,0,0,2,0,0,0,0,0,0,0,9,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,59,2,0,1,0,0,0
32,"1_1",1,1,5.97408,1.28016,1.09728,0.904777778,47.63031404,-122.3987251,"2022_10_06_13-50-40_320.jpg",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,2,0,5,0,0,1,0,0,0,0,0,0,0,4,0,6,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,5,0,0,0
33,"1_1",1,1,5.91312,1.28016,1.09728,0.969666667,47.6303148,-122.3987363,"2022_10_06_13-50-40_328.jpg",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,13,3,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,1,0,1,0,0,0
34,"1_1",1,1,5.91312,1.28016,1.09728,0.904777778,47.6303156,-122.3987463,"2022_10_06_13-50-40_336.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,3,0,0,1,0,0,0,0,0,0,0,6,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,5,0,0,0
35,"1_1",1,1,5.7912,1.28016,1.09728,0.929111111,47.63031651,-122.3987578,"2022_10_06_13-50-40_344.jpg",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0
36,"1_1",1,1,5.7912,1.28016,1.09728,1.018222222,47.63031752,-122.3987708,"2022_10_06_13-50-40_352.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,8,0,0,0,0,0
37,"1_1",1,1,5.82168,1.28016,1.09728,1.024555556,47.63031843,-122.3987833,"2022_10_06_13-50-40_360.jpg",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,13,1,0,19,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,2,0,0,0,0,0
38,"1_1",1,1,5.76072,1.28016,1.09728,1.012,47.63031929,-122.3987944,"2022_10_06_13-50-40_368.jpg",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,1,0,14,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,2,0,0,0,0,0
39,"1_1",1,1,5.73024,1.28016,1.09728,1.041666667,47.63031993,-122.3988029,"2022_10_06_13-50-40_376.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,3,0,0,0,0,0
40,"1_1",1,1,5.69976,1.28016,1.09728,1.025111111,47.63032097,-122.3988154,"2022_10_06_13-50-40_384.jpg",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,2,0,0,8,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,1,0,0,0,0,0
41,"1_1",1,1,5.76072,1.28016,1.09728,1.010666667,47.63032206,-122.3988277,"2022_10_06_13-50-40_392.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0
42,"1_1",1,1,6.4008,1.28016,1.09728,0.936666667,47.6302734,-122.3982933,"2022_10_06_13-50-40_40.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,3,2,0,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0
43,"1_1",1,1,5.73024,1.28016,1.09728,0.978,47.63032278,-122.3988383,"2022_10_06_13-50-40_400.jpg",0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0
44,"1_1",1,1,5.69976,1.28016,1.09728,0.936222222,47.63032346,-122.3988476,"2022_10_06_13-50-40_408.jpg",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,6,3,1,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0
45,"1_1",1,1,5.45592,1.28016,1.09728,1.017888889,47.63032454,-122.3988611,"2022_10_06_13-50-40_416.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,5,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,2,0,0,0,0,0
46,"1_1",1,1,5.42544,1.28016,1.09728,0.9181,47.63032538,-122.3988719,"2022_10_06_13-50-40_424.jpg",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,9,4,4,0,0,0,0,0,0,0,0,0,0,6,0,3,0,3,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,44,3,0,0,0,0,0
47,"1_1",1,1,5.42544,1.28016,1.09728,1.2251,47.6303266,-122.3988875,"2022_10_06_13-50-40_432.jpg",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,3,0,1,0,0,0,0,0,0,0,0,0,0,41,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,28,1,0,0,0,0,0
48,"1_1",1,1,5.4864,1.28016,1.09728,1.209777778,47.63032725,-122.3988975,"2022_10_06_13-50-40_440.jpg",0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,4,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0
49,"1_1",1,1,5.60832,1.28016,1.09728,0.960888889,47.63032863,-122.3989148,"2022_10_06_13-50-40_448.jpg",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0
50,"1_1",1,1,5.60832,1.28016,1.09728,1.055777778,47.63032966,-122.398927,"2022_10_06_13-50-40_456.jpg",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0
51,"1_1",1,1,5.60832,1.28016,1.09728,1.129111111,47.63033068,-122.3989407,"2022_10_06_13-50-40_464.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0
52,"1_1",1,1,5.6388,1.28016,1.09728,1.047,47.63033169,-122.3989541,"2022_10_06_13-50-40_472.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0
53,"1_1",1,1,6.33984,1.28016,1.09728,1.003222222,47.63027427,-122.3983026,"2022_10_06_13-50-40_48.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,8,0,8,0,0,5,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,2,0,5,0,0,0
54,"1_1",1,1,5.6388,1.28016,1.09728,1.0624,47.63033309,-122.3989724,"2022_10_06_13-50-40_480.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,84,3,0,0,0,0,0
55,"1_1",1,1,5.7912,1.28016,1.09728,0.949,47.63033392,-122.3989835,"2022_10_06_13-50-40_488.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,8,0,0,0,0,0
56,"1_1",1,1,6.33984,1.28016,1.09728,0.973555556,47.63027512,-122.3983102,"2022_10_06_13-50-40_56.jpg",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,4,0,4,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,1,0,0,0,0,0
57,"1_1",1,1,6.33984,1.28016,1.09728,0.970777778,47.63027668,-122.3983229,"2022_10_06_13-50-40_64.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,1,0,0,4,0,0,0,0,0,0,0,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0
58,"1_1",1,1,6.2484,1.28016,1.09728,1.015,47.63027808,-122.398334,"2022_10_06_13-50-40_72.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,8,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,8,0,0,0,0,0
59,"1_1",1,1,6.46176,1.28016,1.09728,0.9858,47.63026891,-122.3982495,"2022_10_06_13-50-40_8.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,7,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,2,0,5,0,0,0
60,"1_1",1,1,6.2484,1.28016,1.09728,1.013555556,47.63027941,-122.3983449,"2022_10_06_13-50-40_80.jpg",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,28,1,0,7,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,3,0,0,0,0,0
61,"1_1",1,1,6.2484,1.28016,1.09728,0.970333333,47.63028123,-122.3983597,"2022_10_06_13-50-40_88.jpg",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,7,0,0,0,0,0
62,"1_1",1,1,6.2484,1.28016,1.09728,0.9608,47.63028217,-122.3983673,"2022_10_06_13-50-40_96.jpg",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,2,1,1,0,0,7,0,0,0,0,0,0,0,1,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0
63,"1_2",1,2,6.67512,1.28016,1.0668,0.748333333,47.63037,-122.3983306,"2022_10_06_14-05-43_0.jpg",0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,10,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0
64,"1_2",1,2,6.15696,1.28016,1.0668,0.944666667,47.6303737,-122.3984965,"2022_10_06_14-05-43_104.jpg",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,12,0,1,0,0,0
