"key","site","transect","richness","Shannon","Simpson","img_name","cup_SI","anem_SI","bivalve_SI","CaCuc_MS","crab_MS","CucEmb_SI","encru_SI","gastro_MS","HydBry_SI","KelpBry_SI","scallop_SI","SponSol_SI","SStar_MS","TunSol_SI","urchin_MS","shell_SU","SS_SU","bould_SU","cob_SU","concr_SU","lgshell_SU","peb_SU","reef_SU","wood_SU","anth_SU","fish_MS","glass_SU","metal_SU","poly_SU","UNIdent","X3rib_KE","X5rib_KE","art_CA","branch_RE","broad_KE","bullBL_KE","bullST_KE","bushy_RE","cabb_KE","coland_KE","cord_KE","crust_CA","DiRet_KE","feath_KE","filam_BR","filam_RE","FlatAci_BR","fucus_BR","giant_KE","holdfas_BR","LaEph_KE","LaLoSi_KE","leaf_RE","palm_KE","ribbn_KE","sargass_BR","senes_AL","senes_RE","split_KE","stalk_KE","strap_KE","StriAci_BR","sugar_KE","ulva_GR","undaria_BR","unk_BR","unk_RE","eel_SG","surf_SG"
"1_1","1","1",10,1.63150648438878,0.6912,"2022_10_06_13-50-40_16.jpg",0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0.13,0.07,0,0.05,0,0,0.04,0,0,0,0,0,0,0,0.02,0,0.1,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52,0.01,0,0,0,0,0
"1_1","1","1",6,1.22679714575161,0.6004,"2022_10_06_13-50-40_72.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0.08,0,0,0.05,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0.08,0,0,0,0,0
"1_1","1","1",8,1.06683799107856,0.4644,"2022_10_06_13-50-40_408.jpg",0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.1,0.06,0.03,0.01,0,0,0.03,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72,0,0,0,0,0,0
"1_1","1","1",4,0.337619126949291,0.1498,"2022_10_06_13-50-40_464.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,0,0,0,0,0,0
"1_1","1","1",9,1.53709214150536,0.7226,"2022_10_06_13-50-40_432.jpg",0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.05,0.03,0,0.01,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0.28,0.01,0,0,0,0,0
"1_1","1","1",10,1.58661425818945,0.7208,"2022_10_06_13-50-40_176.jpg",0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.05,0.09,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0.22,0,0.02,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0.01,0,0,0,0,0
"1_1","1","1",9,1.37921828228067,0.5982,"2022_10_06_13-50-40_8.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.01,0,0.07,0,0,0,0,0,0,0,0,0,0,0.03,0,0.02,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61,0.02,0,0.05,0,0,0
"1_1","1","1",10,1.1484362158397,0.4914,"2022_10_06_13-50-40_96.jpg",0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.08,0.02,0.01,0.01,0,0,0.07,0,0,0,0,0,0,0,0.01,0,0.08,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0
"1_1","1","1",12,1.42453943288124,0.5722,"2022_10_06_13-50-40_184.jpg",0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.03,0,0,0.05,0,0,0.01,0,0,0,0,0,0,0,0.05,0,0,0,0.01,0,0.05,0.01,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0.03,0,0.09,0,0,0
"1_1","1","1",9,1.67747176527327,0.7372,"2022_10_06_13-50-40_112.jpg",0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0.09,0.06,0,0.07,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0.05,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0,0,0.22,0,0,0
"1_1","1","1",7,1.05741684631503,0.4856,"2022_10_06_13-50-40_40.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.01,0.03,0.02,0,0,0.03,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0
"1_1","1","1",8,1.02567386969396,0.4388,"2022_10_06_13-50-40_216.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.02,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0.01,0,0.07,0,0,0
"1_1","1","1",8,1.02424039907363,0.4386,"2022_10_06_13-50-40_296.jpg",0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.06,0.02,0,0.02,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0.02,0,0,0
"1_1","1","1",7,1.00145695292151,0.4378,"2022_10_06_13-50-40_352.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.02,0,0.04,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0.08,0,0,0,0,0
"1_1","1","1",12,2.07357335569871,0.841,"2022_10_06_13-50-40_240.jpg",0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.18,0.07,0,0.16,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0.28,0.04,0,0.07,0,0,0
"1_1","1","1",9,1.16737786440501,0.5042,"2022_10_06_13-50-40_0.jpg",0,0,0,0,0.01,0,0,0,0,0.04,0,0,0,0,0,0.05,0.07,0,0.01,0,0,0.02,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69,0,0,0.01,0,0,0
"1_1","1","1",5,0.37580997704698,0.1514,"2022_10_06_13-50-40_448.jpg",0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.01,0.04,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,0,0,0,0,0,0
"1_1","1","1",10,0.98593365205794,0.4104,"2022_10_06_13-50-40_88.jpg",0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.07,0.01,0.01,0.01,0,0,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76,0.07,0,0,0,0,0
"1_1","1","1",8,1.13038372430858,0.5092,"2022_10_06_13-50-40_56.jpg",0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.15,0.04,0,0.04,0,0,0.04,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68,0.01,0,0,0,0,0
"1_1","1","1",11,1.31997303923725,0.5356,"2022_10_06_13-50-40_144.jpg",0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.06,0.07,0,0.04,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0.01,0,0.04,0,0,0.01
"1_1","1","1",9,1.43319120323787,0.6766,"2022_10_06_13-50-40_80.jpg",0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.28,0.01,0,0.07,0,0,0.09,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0.03,0,0,0,0,0
"1_1","1","1",7,1.2608499737298,0.634,"2022_10_06_13-50-40_152.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0.02,0,0.08,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0,0,0,0,0,0
"1_1","1","1",8,1.23984992817058,0.5416,"2022_10_06_13-50-40_224.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.03,0,0.03,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66,0.06,0,0.01,0,0,0
"1_1","1","1",11,1.49085460097149,0.607,"2022_10_06_13-50-40_104.jpg",0,0,0,0,0.01,0,0,0,0,0.03,0,0,0,0,0,0.08,0.05,0,0.06,0,0,0.04,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61,0.02,0,0.02,0,0,0
"1_1","1","1",10,1.55364675030656,0.7058,"2022_10_06_13-50-40_368.jpg",0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.13,0.01,0,0.14,0,0,0.03,0,0,0,0,0,0,0,0.01,0,0.01,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0.02,0,0,0,0,0
"1_1","1","1",8,0.934735578385729,0.4176,"2022_10_06_13-50-40_168.jpg",0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.13,0.03,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0.75,0.01,0,0,0,0,0
"1_1","1","1",6,0.570735723771324,0.2382,"2022_10_06_13-50-40_256.jpg",0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0.06,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,0,0,0.01,0,0,0
"1_1","1","1",11,1.35905181441464,0.6048,"2022_10_06_13-50-40_32.jpg",0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.19,0.01,0,0.01,0,0,0.02,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.59,0.02,0,0.01,0,0,0
"1_1","1","1",9,1.71483497667129,0.7504,"2022_10_06_13-50-40_48.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.08,0,0.08,0,0,0.05,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0.02,0,0.05,0,0,0
"1_1","1","1",7,1.37935352018761,0.6792,"2022_10_06_13-50-40_280.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0.28,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47,0,0,0.05,0,0,0
"1_1","1","1",7,1.18649129226167,0.5472,"2022_10_06_13-50-40_64.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.02,0,0.01,0,0,0.04,0,0,0,0,0,0,0,0.07,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0,0,0,0,0,0
"1_1","1","1",8,1.36794545127309,0.6056,"2022_10_06_13-50-40_232.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.05,0,0.04,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.03,0,0.04,0,0,0
"1_1","1","1",5,0.717787175390876,0.3324,"2022_10_06_13-50-40_304.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0.07,0,0,0
"1_1","1","1",8,0.836041959922167,0.351,"2022_10_06_13-50-40_160.jpg",0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.07,0.03,0,0.05,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.01,0,0,0,0,0
"1_1","1","1",7,1.08964646899855,0.5164,"2022_10_06_13-50-40_136.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.08,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0.01,0,0.03,0,0,0.01
"1_1","1","1",8,0.975584586100654,0.4334,"2022_10_06_13-50-40_312.jpg",0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.12,0.03,0,0.03,0,0,0.01,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0.01,0,0,0
"1_1","1","1",6,1.10365069537217,0.5124,"2022_10_06_13-50-40_120.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0.08,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68,0.03,0,0,0,0,0
"1_1","1","1",6,0.658660221420997,0.2868,"2022_10_06_13-50-40_248.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.01,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0,0.01,0,0,0
"1_2","1","2",6,0.398303382831732,0.152,"2022_10_06_14-05-43_144.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,0,0,0.01,0,0,0
"1_2","1","2",7,1.1377602406364,0.5236,"2022_10_06_14-05-43_72.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0.03,0,0,0.01,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0,0,0.12,0,0,0
"1_2","1","2",6,0.604089065046915,0.2938,"2022_10_06_14-05-43_168.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.83,0.01,0,0,0,0,0
"1_2","1","2",4,0.361947033435781,0.1512,"2022_10_06_14-05-43_408.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,0,0,0,0,0,0
"1_2","1","2",7,1.42067296560564,0.6632,"2022_10_06_14-05-43_8.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0.03,0,0,0,0,0.02,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0,0,0.1,0,0,0
"1_2","1","2",7,1.27764778260578,0.6538,"2022_10_06_14-05-43_104.jpg",0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0.03,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47,0.12,0,0.01,0,0,0
"1_2","1","2",10,1.33772451831954,0.622,"2022_10_06_14-05-43_96.jpg",0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0.23,0.01,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0.01,0,0.05,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0.01,0,0,0,0,0
"1_2","1","2",9,1.37765075954325,0.64,"2022_10_06_14-05-43_176.jpg",0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0.2,0,0,0.08,0,0,0.02,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.1,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0.01,0,0,0,0,0
"1_2","1","2",6,0.562818355638616,0.2516,"2022_10_06_14-05-43_304.jpg",0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.01,0.02,0,0,0,0.01,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0,0,0,0,0
"1_2","1","2",8,1.76738717725251,0.7958,"2022_10_06_14-05-43_40.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0.04,0,0.07,0,0,0.06,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0.01,0,0.11,0,0,0
"1_2","1","2",9,1.58813543528848,0.7,"2022_10_06_14-05-43_16.jpg",0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0.11,0.03,0,0.06,0,0,0.01,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.16,0,0,0
"1_2","1","2",4,0.809921477456687,0.4232,"2022_10_06_14-05-43_400.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0.12,0,0,0,0,0
"1_2","1","2",8,1.25672847843381,0.5974,"2022_10_06_14-05-43_192.jpg",0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0.2,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.59,0.11,0,0,0,0,0
"1_2","1","2",7,0.562840702531232,0.2224,"2022_10_06_14-05-43_232.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.01,0,0.01,0,0,0.02,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0,0,0,0,0,0
"1_2","1","2",4,0.471032578690485,0.2184,"2022_10_06_14-05-43_392.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0.02,0,0,0,0,0
