site,transect,photo,path,row,column,patch_size,label,long_label
Centennial,1,2024_10_08_11-32-32.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-32.jpg,1915,3373,224,GR_ulva,green_algae_ulva
Centennial,1,2024_10_08_11-32-32.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-32.jpg,642,3031,224,BR_sarg,brown_algae_sargassum
Centennial,1,2024_10_08_11-32-32.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-32.jpg,302,2829,224,RE_bush,red_algae_bushy
Centennial,1,2024_10_08_11-32-32.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-32.jpg,2242,467,224,GR_ulva,green_algae_ulva
Centennial,1,2024_10_08_11-32-32.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-32.jpg,2569,1968,224,GR_ulva,green_algae_ulva
Centennial,1,2024_10_08_11-32-32.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-32.jpg,3264,3593,224,GR_ulva,green_algae_ulva
Centennial,1,2024_10_08_11-32-32.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-32.jpg,304,1416,224,BR_filam,brown_algae_filamentous
Centennial,1,2024_10_08_11-32-32.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-32.jpg,3787,3181,224,GR_ulva,green_algae_ulva
Centennial,1,2024_10_08_11-32-32.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-32.jpg,1203,726,224,GR_ulva,green_algae_ulva
Centennial,1,2024_10_08_11-32-32.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-32.jpg,3884,257,224,SU_cob,cobble
Centennial,1,2024_10_08_11-32-32.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-32.jpg,2849,3902,224,GR_ulva,green_algae_ulva
Centennial,1,2024_10_08_11-32-32.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-32.jpg,2915,2781,224,GR_ulva,green_algae_ulva
Centennial,1,2024_10_08_11-32-32.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-32.jpg,712,1065,224,SU_peb,pebble
Centennial,1,2024_10_08_11-32-32.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-32.jpg,1448,4199,224,RE_fil,red_algae_filamentous
Centennial,1,2024_10_08_11-32-32.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-32.jpg,1784,807,224,GR_ulva,green_algae_ulva
Centennial,1,2024_10_08_11-32-32.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-32.jpg,1536,1528,224,RE_leaf,red_algae_flat_leaf
Centennial,1,2024_10_08_11-32-32.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-32.jpg,1183,2479,224,BR_filam,brown_algae_filamentous
Centennial,1,2024_10_08_11-32-32.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-32.jpg,823,149,224,SU_silt,silt
Centennial,1,2024_10_08_11-32-32.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-32.jpg,3056,268,224,GR_ulva,green_algae_ulva
Centennial,1,2024_10_08_11-32-32.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-32.jpg,1232,2821,224,BR_filam,brown_algae_filamentous
Centennial,1,2024_10_08_11-32-32.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-32.jpg,416,968,224,BR_filam,brown_algae_filamentous
Centennial,1,2024_10_08_11-32-32.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-32.jpg,1702,1700,224,RE_leaf,red_algae_flat_leaf
Centennial,1,2024_10_08_11-32-32.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-32.jpg,1420,1997,224,RE_leaf,red_algae_flat_leaf
Centennial,1,2024_10_08_11-32-32.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-32.jpg,523,4303,224,SU_silt,silt
Centennial,1,2024_10_08_11-32-32.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-32.jpg,2113,2974,224,SU_silt,silt
Centennial,1,2024_10_08_11-32-32.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-32.jpg,3036,2611,224,GR_ulva,green_algae_ulva
Centennial,1,2024_10_08_11-32-32.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-32.jpg,3347,4144,224,GR_ulva,green_algae_ulva
Centennial,1,2024_10_08_11-32-32.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-32.jpg,3828,2141,224,SU_silt,silt
Centennial,1,2024_10_08_11-32-32.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-32.jpg,918,1870,224,SU_peb,pebble
Centennial,1,2024_10_08_11-32-41.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-41.jpg,411,1248,224,KE_sugar,kelp_sugar
Centennial,1,2024_10_08_11-32-41.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-41.jpg,2742,3661,224,GR_ulva,green_algae_ulva
Centennial,1,2024_10_08_11-32-41.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-41.jpg,688,2413,224,GR_ulva,green_algae_ulva
Centennial,1,2024_10_08_11-32-41.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-41.jpg,362,2753,224,BR_sarg,brown_algae_sargassum
Centennial,1,2024_10_08_11-32-41.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-41.jpg,2782,645,224,GR_ulva,green_algae_ulva
Centennial,1,2024_10_08_11-32-41.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-41.jpg,462,3154,224,BR_sarg,brown_algae_sargassum
Centennial,1,2024_10_08_11-32-41.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-41.jpg,2745,1915,224,GR_ulva,green_algae_ulva
Centennial,1,2024_10_08_11-32-41.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-41.jpg,3235,2888,224,SU_peb,pebble
Centennial,1,2024_10_08_11-32-41.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-41.jpg,1988,420,224,RE_fil,red_algae_filamentous
Centennial,1,2024_10_08_11-32-41.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-41.jpg,896,2982,224,BR_sarg,brown_algae_sargassum
Centennial,1,2024_10_08_11-32-41.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-41.jpg,2346,2698,224,BR_filam,brown_algae_filamentous
Centennial,1,2024_10_08_11-32-41.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-41.jpg,1470,220,224,GR_ulva,green_algae_ulva
Centennial,1,2024_10_08_11-32-41.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-41.jpg,2630,2654,224,BR_sarg,brown_algae_sargassum
Centennial,1,2024_10_08_11-32-41.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-41.jpg,970,3379,224,BR_sarg,brown_algae_sargassum
Centennial,1,2024_10_08_11-32-41.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-41.jpg,1600,2670,224,SU_peb,pebble
Centennial,1,2024_10_08_11-32-41.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-41.jpg,317,3558,224,SU_silt,silt
Centennial,1,2024_10_08_11-32-41.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-41.jpg,1428,803,224,RE_fil,red_algae_filamentous
Centennial,1,2024_10_08_11-32-41.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-41.jpg,3694,2297,224,SU_peb,pebble
Centennial,1,2024_10_08_11-32-41.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-41.jpg,764,3778,224,SU_peb,pebble
Centennial,1,2024_10_08_11-32-41.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-41.jpg,3066,4380,224,GR_ulva,green_algae_ulva
Centennial,1,2024_10_08_11-32-41.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-41.jpg,2911,2321,224,GR_ulva,green_algae_ulva
Centennial,1,2024_10_08_11-32-41.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-41.jpg,274,2119,224,GR_ulva,green_algae_ulva
Centennial,1,2024_10_08_11-32-41.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-41.jpg,851,320,224,SU_peb,pebble
Centennial,1,2024_10_08_11-32-41.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-41.jpg,556,904,224,KE_sugar,kelp_sugar
Centennial,1,2024_10_08_11-32-41.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-41.jpg,1350,1740,224,RE_leaf,red_algae_flat_leaf
Centennial,1,2024_10_08_11-32-41.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-41.jpg,1741,124,224,SU_peb,pebble
Centennial,1,2024_10_08_11-32-41.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-41.jpg,1195,4419,224,GR_ulva,green_algae_ulva
Centennial,1,2024_10_08_11-32-41.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-41.jpg,1857,1551,224,RE_leaf,red_algae_flat_leaf
Centennial,1,2024_10_08_11-32-41.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-41.jpg,744,2153,224,BR_filam,brown_algae_filamentous
Centennial,1,2024_10_08_11-32-41.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-41.jpg,1794,1140,224,RE_fil,red_algae_filamentous
Centennial,1,2024_10_08_11-32-41.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-41.jpg,2386,3476,224,SU_peb,pebble
Centennial,1,2024_10_08_11-32-41.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-41.jpg,3670,416,224,GR_ulva,green_algae_ulva
Centennial,1,2024_10_08_11-32-41.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-41.jpg,643,2950,224,BR_sarg,brown_algae_sargassum
Centennial,1,2024_10_08_11-32-41.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-41.jpg,2546,2880,224,SU_peb,pebble
Centennial,1,2024_10_08_11-32-41.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-41.jpg,201,3566,224,SU_silt,silt
Centennial,1,2024_10_08_11-32-41.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-41.jpg,2866,2107,224,GR_ulva,green_algae_ulva
Centennial,1,2024_10_08_11-32-41.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-41.jpg,917,943,224,RE_branch,red_algae_branching
Centennial,1,2024_10_08_11-32-41.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-41.jpg,3905,1683,224,GR_ulva,green_algae_ulva
Centennial,1,2024_10_08_11-32-41.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-41.jpg,937,552,224,SU_peb,pebble
